Date,Close/Last,Volume,Open,High,Low
12/24/2024,$7.19,7171,$7.353,$7.3955,$7.037
12/23/2024,$7.413,14746,$7.00,$7.513,$6.941
12/20/2024,$6.931,35327,$7.506,$7.587,$6.898
12/19/2024,$7.187,29682,$7.30,$7.67,$6.946
12/18/2024,$6.853,36991,$7.381,$7.99,$6.852
12/17/2024,$7.202,18244,$7.60,$7.60,$7.10
12/16/2024,$7.776,19962,$7.80,$7.932,$7.459
12/13/2024,$7.9317,64645,$8.317,$9.70,$7.621
12/12/2024,$8.706,47084,$8.20,$8.80,$7.651
12/11/2024,$8.081,93077,$8.369,$8.369,$7.00
12/10/2024,$8.735,1192787,$8.048,$8.893,$6.609
12/09/2024,$8.40,112912,$7.88,$8.80,$7.501
12/06/2024,$7.70,25303,$7.60,$7.989,$7.10
12/05/2024,$7.51,4403,$7.11,$7.988,$7.10
12/04/2024,$7.50,5005,$7.699,$7.738,$7.20
12/03/2024,$7.413,12250,$7.22,$8.167,$7.22
12/02/2024,$7.50,32698,$8.30,$8.382,$7.24
11/29/2024,$8.20,22785,$9.10,$9.10,$8.20
11/27/2024,$9.15,103437,$9.64,$10.20,$8.545
11/26/2024,$8.805,11721,$8.729,$8.90,$8.40
11/25/2024,$8.545,3518,$9.00,$9.00,$8.50
11/22/2024,$8.51,5616,$8.778,$8.862,$8.213
11/21/2024,$8.74,14356,$8.35,$9.60,$7.9101
11/20/2024,$7.90,3205,$8.14,$8.257,$7.838
11/19/2024,$8.143,6713,$7.857,$8.245,$7.50
11/18/2024,$8.10,6317,$8.00,$8.399,$7.675
11/15/2024,$8.00,11393,$7.425,$8.127,$7.30
11/14/2024,$7.212,25855,$9.357,$9.90,$7.10
11/13/2024,$9.64,4400,$9.20,$9.80,$9.15
11/12/2024,$9.466,10538,$11.30,$11.30,$9.006
11/11/2024,$10.70,16610,$11.30,$11.799,$10.50
11/08/2024,$11.10,20773,$10.20,$11.661,$9.30
11/07/2024,$9.783,25701,$8.90,$9.799,$7.911
11/06/2024,$8.569,21162,$7.481,$8.952,$7.412
11/05/2024,$7.712,8716,$7.70,$8.122,$7.262
11/04/2024,$7.80,16688,$8.154,$8.205,$7.421
11/01/2024,$8.303,13716,$8.566,$8.6306,$7.753
10/31/2024,$8.565,10752,$8.80,$8.80,$8.10
10/30/2024,$8.60,46887,$9.204,$9.204,$8.10
10/29/2024,$9.494,4396,$9.50,$9.50,$9.202
10/28/2024,$9.50,8613,$9.20,$9.50,$8.862
10/25/2024,$9.00,10065,$8.55,$9.38,$8.38
10/24/2024,$8.81,20591,$9.79,$9.79,$8.30
10/23/2024,$8.898,18283,$9.204,$9.50,$7.901
10/22/2024,$9.083,5972,$9.506,$9.703,$9.00
10/21/2024,$9.80,12509,$10.40,$10.40,$9.329
10/18/2024,$9.90,26465,$9.20,$10.90,$8.75
10/17/2024,$9.20,15557,$9.30,$9.87,$8.901
10/16/2024,$9.474,18295,$9.37,$9.86,$8.821
10/15/2024,$9.1355,24146,$9.328,$10.20,$8.40
10/14/2024,$9.616,11856,$9.20,$10.30,$9.20
10/11/2024,$9.398,6273,$8.789,$9.71,$8.789
10/10/2024,$8.80,33232,$10.00,$10.10,$7.51
10/09/2024,$9.901,22313,$10.30,$10.30,$9.70
10/08/2024,$9.999,4228,$10.20,$10.20,$9.50
10/07/2024,$9.65,10242,$9.80,$10.20,$9.50
10/04/2024,$9.85,11405,$9.70,$10.30,$9.50
10/03/2024,$9.80,3544,$10.10,$10.255,$9.80
10/02/2024,$10.00,15953,$10.00,$10.50,$9.55
10/01/2024,$10.00,4470,$10.30,$10.50,$9.90
09/30/2024,$10.40,9037,$10.10,$10.489,$10.00
09/27/2024,$10.20,7688,$10.40,$10.50,$9.715
09/26/2024,$9.945,8936,$9.601,$10.257,$9.601
09/25/2024,$9.848,6500,$9.294,$10.50,$9.294
